Recomendado,"Espero sirva mi opinión. Compre el celular y lo traje a a Ecuador y funcionó sin problema con la operadora claro de mi país, el teléfono en bastante bien estado, cámara, bocinas, sin rayones, vino con un sello protegido, la única observación fue que me vino un cable genérico con entrada usb y un adaptador genérico con entrada tipo c, quizás por error al momento de empaquetar, batería con una condición del 86% , condiciones bastante aceptables para el precio colocado, esperemos me vaya bien",
VERY IMPRESSED,"I’ve had this phone for almost 2 months and I can not express how amazing this is. I was worried to buy it and I looked at reviews and was still questioning it but guys I’m telling you this is the best phone I’ve ever had. It came with a charger/box, and a screen protector.",5.0 out of 5 stars
Excellent cell phone!,"Battery,screen quality face recognition excellent! Highly recommend seller! 5 star !",5.0 out of 5 stars
Omg this is awesome,"So I bought this phone for my husband, and wow. I believe I bought acceptable condition, and i was expecting a few minor scratches, but no literally ZERO MARKS! And the description also says the phone would prolly have around a 80% battery health, but mine is at 98%! Now ive had the same Iphone 6 for the past 6 or so years, so I'm not super knowledgable with tech and iphones, but for the crazy amount of storage, the literally perfect condition, and the 98% battery life, and fast shipping, I'd say its pretty worth it! Maybe its time for me to upgrade my old phone....",5.0 out of 5 stars
Not as advertised - significant damage to phone,"Phone arrived promptly.  Poorly packaged - plastic tray too small to hold phone.  Paid more for ""excellent"" refurbished, however phone arrived with cracked screen - as bad as the phone I am trying to replace.  Disappointing.  Do better.",
WOW,"I had previously ordered an iPhone SE, and hated it from the minute I opened the box.. A year later I ordered this XR.. It's AMAZING!!! It's refurbished, but looks and operates like it's brand new.. It's gonna take a little time to get used to it, but so far, I LOVE IT!!!",5.0 out of 5 stars
Love this phone,Great product 💯,5.0 out of 5 stars
Broken,Got phone in a random brown box with a cracked screen.,
100% Good iphone,"Everything is good about my phone theres nothing wrong its perfect battery works,speakers,touch screen and it got delivered pretty quick.",5.0 out of 5 stars
Awesome phone!,"Phone came fast, in two days. It’s in like new condition, has a full battery charge, and set up very quickly. I’m impressed! Very happy with my purchase!",5.0 out of 5 stars
Phone Camera is broken 🤬,Phone Camera is broken 🤬,
Good Phone,Works well,5.0 out of 5 stars
Phone volume too low,Only complaint about my refurbished Iphone X was the phone volume for calls is very low to hear the other person so I had to resort to speaker or wireless earbuds. It might be due to the dirt & dust from previous user. I'll try cleaning the speaker to see if that fixes problem.,
"Already connected to another Verizon account, un-useable & return process was frustrating","Product was beautiful and in great physical & operating condition. Spent a lot of time setting it up but once I took it to the Verizon store to be connected to my account they told me it was already registered under another Verizon account and could there for never be used by another Verizon account.  I requested a replacement through the same retailer who suggested they could have it delivered within a week. The estimated delivery was ultimately extended by another week until it was canceled all together by the retailer without notifying me. Bummer bc last time I bought the exact same phone from the exact same retailer (this time around I'd literally just gone into my old orders and clicked to ""buy again""), and it went off without a hitch.",
Great Price,The phone looks brand new and works perfectly. Shipping was extremely fast!,5.0 out of 5 stars
Great seller and product,"I made this purchase 3 months ago. What I loved about this seller is he/she had my phone to me in 2days which was great because it was an Christmas gift for my daughter. The phone came just as described. The phone came unlocked, we activated through metro pcs with no problems. The cell phone had no scratches nor dings. The Face recognition and camera is awesome. It came with an fast charging cable and adapter box. So far so good no issues.",5.0 out of 5 stars
Very nice for being used,The only issue I don’t like is the battery don’t wanna stay charged n one of my phone don’t have the option to show the battery percentage and the other one does seeing that I bought 2 at the same time from the same person,
Defective,Phone is defective. Doesn’t work.,
Love,I ordered this phone when my other one was tripping and I still use this phone not all renewed things are bad,5.0 out of 5 stars
Reliable,Perfect like a new one,5.0 out of 5 stars
Have Had it for over a year,It works really well but it does get softlocked every now and then. Nothing a force hard reset can’t fix. Signs of obvious previous wear and tear as soon as I opened it out of the box. Over a year later and it only worsened. Back glass cracked a bit after a 2ft drop but the phone is still useable obviously as I am using it to type this review as i speak. Very good battery initially (thank goodness). I still think very fondly of this phones battery life and fast charging compatibility.,5.0 out of 5 stars
Works Great!,"love this phone , works great !",5.0 out of 5 stars
Mal producto y sin respaldo,"Es triste que invierta en un producto de esta marca y no sirva, llego con fallas en el micrófono y la batería al pedir el respaldo en Amazon me remiten con el vendedor y el vendedor me remite con Amazon y hasta aquí no me dieron ningúna solución. El celular lo envíe a colombia para un obsequio y fue un desastre. Ahora no sé si alcancé a llagar nuevamente hasta aquí para poder devolverlo.Muy triste de ese percance",
Love my new IPhone XR,"I’ve never thought of buying refurbished until I bought an Apple Watch and my watch required a newer IPhone by so little. I researched and found XR was a perfect match for my needs and my grandson loved his. Color didn’t matter. The coral IPhone XR arrived by FedEx within 3 days of payment with a screensaver, in perfect condition.  The setup was as easier as always. Syncing with my iPad and watch proved to be easy and all is well.My only problem ? was that the phone is so polished & clean that it slips out of my hands constantly.  Get a case BEFORE you get the phone!  😉",5.0 out of 5 stars
I would like to purchase a 12 mini 256 gig,"The amount of memory 256 gig,it was for my daughter she had a 64 gig, she loves it !!!",5.0 out of 5 stars
The Phone Sucks,Ordered the phone and it's completely scratched on the screen and all of its components battery 73%  I cannot even  recommend anyone to buy it,
Phone,iPhone 10 great buy great price and Amazon replacement or return Super,5.0 out of 5 stars
Didn’t work,I had to send it back because it didn’t work,
Phone looks new,Fast shipping and phone looks new. Only had a couple days is the reason why I didn’t give it 5 stars,
Very Good,"Still using it after nearly 2 years, few problems",5.0 out of 5 stars
Wasn’t a scam,I was worried it wasn’t going to come or that it would be fake but I’m typing on it right now.,
No me llegó en buenas condiciones. Tenía bastantes rayas.,Esperaba mejor calidad por el precio que pague. En otros sitios se encuentra 10% más bataro y de mejor calidad.,
everything works,i love the phone thank you,5.0 out of 5 stars
Very good phone,"My wife really likes this phone, no noticeable scratches or defects on the phone at all",5.0 out of 5 stars
IT IS WORTH.,"The media could not be loaded.
                



 Simply the best, brand new!!!! The package is amazing, very well cared! And the phone is literally perfect as it buy at the Apple Store! Great, excellent product!!!!",5.0 out of 5 stars
Exceeded My Expectations,"I received a flawless phone with not 1 blemish or scratch. The battery capacity was 94% which I was highly impressed considering this is an older phone. Install instructions, a charger, adapter and screen saver already applied came with the phone. You don’t need to call your carrier for installation help, just pop in your SIM card and log into you iCloud. Make sure to buy a case to keep your phone protected. I got mine off of SHEIN for only $1.90.",5.0 out of 5 stars
Feels Sketchy,"I got this phone for a good price and I was happy with it because the battery was 95% when I got it in January. But now a month later, the battery degraded to 88%. I have only used apple approved chargers so I have no idea how this happened. I paid extra for the battery to be over 90% but it lost 10% in 4 weeks... I seen other people say this exact same thing happened but I assumed maybe it was by using cheap chargers.",
Not water resistant,Worked ok until got a little wet. Then screen died and face I'd dies.,
Device Came as Advertised,The battery was at 86% capacity,
Muy bueno,Super bueno,5.0 out of 5 stars
The works as described in the site by the seller.,The device works very well but came with some scratches. I am happy with the purchase.,
My phone i ordered,My camera isn’t clear at all it last blurry,
Unlock iPhone,After six months or 8 the iPhone doesn’t want to read the Sim card? I took them to the Apple store and they told me the phone did it was paid off,
Love it,They work like new,5.0 out of 5 stars
As advertised,"As advertised, got in 2 days",5.0 out of 5 stars
Excellent Condition!,"I bought the iPhone XR Unlocked Renewed.  It came in perfect condition, no scratches or dents.  Synergy was the seller.  Only issue I had was it took a minute for the Metro PCS clerk to be able to transfer my info over.  I spoke with Synergy rep and they said it’s because I was coming from an Android Revvl 6.  Anyway, the issue was solved!  I highly recommend Synergy and would by from them again.",5.0 out of 5 stars
Love my phone!!,Perfect!  Looks great!!  Works perfectly!  Love love this phone.  Price was good! 👍🏻👍🏻👍🏻,5.0 out of 5 stars
It is a good phone,"I like that it was simple. It is a good working phone. It has good qualities. It has good battery life, and it has good screen quality. It looks brand new. I'm having a good time using it and hope to have it for a long time.",5.0 out of 5 stars
Está en perfecto estado,"El producto llegó en perfecto estado (el cristal templado de regalo no es el mejor pero se agradece) un único rasguño al lado del speaker derecho en el chasis, después impoluto en los demás apartados, única cosa que hubiera gustado que tenga mejor es la batería que me llegó al 82% pero es un detalle que no tiene demasiada importancia la verdad",5.0 out of 5 stars
Good condition  and works,"Had a few  minor scratches, one of which  was quite deep .But it works well and screen looks great. Battery is 80%",
good battery life and good condition,"love it so far, not a single problem with it.",5.0 out of 5 stars
Very HAPPY customer,Product works perfectly. I have no complaints.,5.0 out of 5 stars
